name        ,type ,op                ,1              ,2              ,3                ,4             ,5                ,6              ,7
SQRT.fmt    ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,SQRT 6 000100    ,               ,
SRA         ,R    ,SPECIAL 6 000000  ,0 5 0          ,rt 5 - 2       ,rd 5 - 1         ,sa 5 - 3      ,SRA 6 000011     ,               ,
SRAV        ,R    ,SPECIAL 6 000000  ,rs 5 - 3       ,rt 5 - 2       ,rd 5 - 1         ,0 5 0         ,SRAV 6 000111    ,               ,
SRl         ,R    ,SPECIAL 6 000000  ,0 4 0          ,R 1 0          ,rt 5 - 2         ,rd 5 - 1      ,sa 5 - 3         ,SRL 6 000010   ,
SRLV        ,R    ,SPECIAL 6 000000  ,rs 5 - 3       ,rt 5 - 2       ,rd 5 - 1         ,0 4 0         ,R 1 0            ,SRLV 6 000110  ,
SUB         ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,0 5 0         ,SUB 6 100010     ,               ,
SUB.fmt     ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,SUB 6 000001     ,               ,
SUBU        ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,0 5 0         ,SUBU 6 100011    ,               ,
SWE         ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,offset 9 - 2     ,0 1 0         ,SWE 6 011111     ,               ,
SYNC        ,R    ,SPECIAL 6 000000  ,0 15 0         ,stype 5 - 1    ,SYNC 6 001111    ,              ,                 ,               ,
TLBINV      ,R    ,COP0 6 010000     ,CO 1 1         ,0 19 0         ,TLBINV 6 000011  ,              ,                 ,               ,
TLBINVF     ,R    ,COP0 6 010000     ,CO 1 1         ,0 19 0         ,TLBINVF 6 000100 ,              ,                 ,               ,
TLBP        ,R    ,COP0 6 010000     ,CO 1 1         ,0 19 0         ,TLBP 6 001000    ,              ,                 ,               ,
TLBR        ,R    ,COP0 6 010000     ,CO 1 1         ,0 19 0         ,TLBR 6 000001    ,              ,                 ,               ,
TLBWI       ,R    ,COP0 6 010000     ,CO 1 1         ,0 19 0         ,TLBWI 6 000010   ,              ,                 ,               ,
TLBWR       ,R    ,COP0 6 010000     ,CO 1 1         ,0 19 0         ,TLBWR 6 000110   ,              ,                 ,               ,
TRUNC.L.fmt ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,TRUNC.L 6 001001 ,               ,
TRUNC.W.fmt ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,TRUNC.W 6 001101 ,               ,
WRPGPR      ,R    ,COP0 6 010000     ,WRPGPR 5 01110 ,rt 5 - 2       ,rd 5 - 1         ,0 11 0        ,                 ,               ,
WSBH        ,R    ,SPECIAL3 6 011111 ,0 5 0          ,rt 5 - 2       ,rd 5 - 1         ,WSBH 5 00010  ,BSHFL 6 100000     ,               ,
XOR         ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,0 5 0         ,XOR 6 100110     ,               ,
ADDIU       ,I    ,ADDIU 6 001001    ,rs 5 - 2       ,rt 5 - 1       ,imme 16 - 3      ,              ,                 ,               ,
ADDIUPC     ,I    ,PCREL 6 111011    ,rs 5 - 1       ,ADDIUPC 2 0    ,imme 19 - 2      ,              ,                 ,               ,
ALUIPC      ,I    ,PCREL 6 111011    ,rs 5 - 1       ,ALUIPC 5 11111 ,imme 16 - 2      ,              ,                 ,               ,
ANDI        ,I    ,ANDI 6 001100     ,rs 5 - 2       ,rt 5 - 1       ,imme 16 - 3      ,              ,                 ,               ,
AUI         ,I    ,AUI 6 001111      ,rs 5 - 2       ,rt 5 - 1       ,imme 16 - 3      ,              ,                 ,               ,
AUIPC       ,I    ,PCREL 6 111011    ,rs 5 - 1       ,AUIPC 5 11110  ,imme 16 - 2      ,              ,                 ,               ,
BAL         ,I    ,REGIMM 6 000001   ,0 5 0          ,BAL 5 10001    ,offset 16 - 1    ,              ,                 ,               ,
BALC        ,I    ,BALC 6 111010     ,offset 26 - 1  ,               ,                 ,              ,                 ,               ,
BC          ,I    ,BC 6 110010       ,offset 26 - 1  ,               ,                 ,              ,                 ,               ,
BC1EQZ      ,I    ,COP1 6 010001     ,BC1EQZ 5 01001 ,ft 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
BC1NEZ      ,I    ,COP1 6 010001     ,BC1NQZ 5 01101 ,ft 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
BC2EQZ      ,I    ,COP2 6 010010     ,BC2EQZ 5 01001 ,ct 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
BC2NEZ      ,I    ,COP2 6 010010     ,BC2NEZ 5 01101 ,ct 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
BEQ         ,I    ,BEQ 6 000100      ,rs 5 - 1       ,rt 5 - 2       ,offset 16 - 3    ,              ,                 ,               ,
BEQC        ,I    ,POP10 6 001000    ,rs 5 + 1       ,rt 5 + 2       ,offset 16 - 3    ,              ,                 ,               ,
BEQZALC     ,I    ,POP10 6 001000    ,rs 5 0         ,rt 5 + 1       ,offset 16 - 2    ,              ,                 ,               ,
BEQZC       ,I    ,POP66 6 110110    ,rs 5 + 1       ,offset 21 - 2  ,                 ,              ,                 ,               ,
BGEC        ,I    ,POP26 6 010110    ,rs 5 + 1       ,rt 5 + 2       ,offset 16 - 3    ,              ,                 ,               ,
BGEUC       ,I    ,POP06 6 000110    ,rs 5 + 1       ,rt 5 + 2       ,offset 16 - 3    ,              ,                 ,               ,
BGEZ        ,I    ,REGIMM 6 000001   ,rs 5 - 1       ,BGEZ 5 00001   ,offset 16 - 2    ,              ,                 ,               ,
BGEZALC     ,I    ,POP06 6 000110    ,r 0 + 1        ,rs 5 r         ,rt 5 r           ,offset 16 - 2 ,                 ,               ,
BGEZC       ,I    ,POP26 6 010110    ,r 0 + 1        ,rs 5 r         ,rt 5 r           ,offset 16 - 2 ,                 ,               ,
BGTZ        ,I    ,BGTZ 6 000111     ,rs 5 - 1       ,0 5 0          ,offset 16 - 2    ,              ,                 ,               ,
BGTZALC     ,I    ,POP07 6 000111    ,0 5 0          ,rt 5 + 1       ,offset 16 - 2    ,              ,                 ,               ,
BGTZC       ,I    ,POP27 6 010111    ,rs 5 0         ,rt 5 + 1       ,offset 16 - 2    ,              ,                 ,               ,
BLEZ        ,I    ,BLEZ 6 000110     ,rs 5 - 1       ,0 5 0          ,offset 16 - 2    ,              ,                 ,               ,
BLEZALC     ,I    ,POP06 6 000110    ,0 5 0          ,rt 5 + 1       ,offset 16 - 2    ,              ,                 ,               ,
BLEZC       ,I    ,POP26 6 010110    ,0 5 0          ,rt 5 + 1       ,offset 16 - 2    ,              ,                 ,               ,
BLTC        ,I    ,POP27 6 010111    ,rs 5 + 1       ,rt 5 + 2       ,offset 16 - 3    ,              ,                 ,               ,
BLTUC       ,I    ,POP07 6 000111    ,rs 5 + 1       ,rt 5 + 2       ,offset 16 - 3    ,              ,                 ,               ,
BLTZ        ,I    ,REGIMM 6 000001   ,rs 5 - 1       ,BLTZ 5 0       ,offset 16 - 2    ,              ,                 ,               ,
BLTZALC     ,I    ,POP07 6 000111    ,r 0 + 1        ,rs 5 r         ,rt 5 r           ,offset 16 - 2 ,                 ,               ,
BLTZC       ,I    ,POP27 6 010111    ,r 0 + 1        ,rs 5 r         ,rt 5 r           ,offset 16 - 2 ,                 ,               ,
BLTZL       ,I    ,REGIMM 6 000001   ,rs 5 - 1       ,BLTZL 5 00010  ,offset 16 - 2    ,              ,                 ,               ,
BNE         ,I    ,BNE 6 000101      ,rs 5 - 1       ,rt 5 - 2       ,offset 16 - 3    ,              ,                 ,               ,
BNEC        ,I    ,POP30 6 011000    ,rs 5 + 1       ,rt 5 + 2       ,offset 16 - 3    ,              ,                 ,               ,
BNEZALC     ,I    ,POP30 6 011000    ,rs 5 0         ,rt 5 + 1       ,offset 16 - 2    ,              ,                 ,               ,
BNEZC       ,I    ,POP76 6 111110    ,rs 5 + 1       ,offset 21 - 2  ,                 ,              ,                 ,               ,
BNVC        ,I    ,POP30 6 011000    ,rs 5 - 1       ,rt 5 - 2       ,offset 16 - 3    ,              ,                 ,               ,
BOVC        ,I    ,POP10 6 001000    ,rs 5 - 1       ,rt 5 - 2       ,offset 16 - 3    ,              ,                 ,               ,
CFC2        ,I    ,COP2 6 010010     ,CF 5 00010     ,rt 5 - 1       ,Impl 16 - 2      ,              ,                 ,               ,
CTC2        ,I    ,COP2 6 010010     ,CT 5 00110     ,rt 5 - 1       ,Impl 16 - 2      ,              ,                 ,               ,
JIALC       ,I    ,POP76 6 111110    ,JIALC 5 0      ,rt 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
JIC         ,I    ,POP66 6 110110    ,JIC 5 0        ,rt 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
LB          ,I    ,LB 6 100000       ,base 5 ~       ,rt 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
LBU         ,I    ,LBU 6 100100      ,base 5 ~       ,rt 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
LDC1        ,I    ,LDC1 6 110101     ,base 5 ~       ,ft 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
LDC2        ,I    ,COP2 6 010010     ,LDC2 5 01110   ,rt 5 - 1       ,base 5 ~         ,offset 11 - 2 ,                 ,               ,
LH          ,I    ,LH 6 100001       ,base 5 ~       ,rt 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
LHU         ,I    ,LHU 6 100101      ,base 5 ~       ,rt 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
LW          ,I    ,LW 6 100011       ,base 5 ~       ,rt 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
LWC1        ,I    ,LWC1 6 110001     ,base 5 ~       ,ft 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
LWC2        ,I    ,COP2 6 010010     ,LWC2 5 01010   ,rt 5 - 1       ,base 5 ~         ,offset 11 - 2 ,                 ,               ,
LWPC        ,I    ,PCREL 6 111011    ,rs 5 - 1       ,LWPC 2 01      ,offset 19 - 2    ,              ,                 ,               ,
MFC2        ,I    ,COP2 6 010010     ,MF 5 0         ,rt 5 - 1       ,Impl 16 - 2      ,              ,                 ,               ,
